N,tau,noise,type,probability,mean,second_moment,third_moment,fourth_moment,variance,skewness,kurtosis
50,0.0001,0.5,numeric,"[0.0, 0.0, 0.0, 3.1733062910361435e-08, 1.058985547212079e-06, 2.001354182225838e-05, 0.00023362335119762545, 0.0017826667213906057, 0.009244166969329705, 0.033479262067541794, 0.08632547207195057, 0.16056452249761943, 0.21720209299046364, 0.2145329695080515, 0.1547175951948982, 0.08115011704726942, 0.03070337639576606, 0.008270620771706807, 0.00155596758506188, 0.00019893293587170178, 1.6625489555252074e-05, 8.582238112624092e-07, 2.5088953583994713e-08, 0.0, 0.0, 0.0]",24.922721157406322,633.6417644618672,16415.17043406214,432868.41577140416,12.499734572038395,0.0386261310886766,462.48077160934923
50,0.0001,0.5,thermal1,"[0.0, 0.0, 0.0, 3.173829236318976e-08, 1.0591238805370765e-06, 2.001554855025051e-05, 0.00023364057319296663, 0.0017827575921671546, 0.009244463178472133, 0.03347982862695977, 0.0863259568341946, 0.16056422104741555, 0.21720088646466462, 0.21453180773492064, 0.1547173696861395, 0.08115062991780847, 0.03070392656507034, 0.008270896518190962, 0.001556049407941902, 0.0001989479868442958, 1.662719463690188e-05, 8.583382016093841e-07, 2.5093164619085047e-08, 0.0, 0.0, 0.0]",24.92272113892479,633.6419096775612,16415.181327004007,432868.9700244449,12.499880708952901,0.0386278162586677,462.4914394861554
50,0.0001,1.0,pk,"[0.9990012807646691, 0.9910360193468722, 0.9752356313403299, 0.9518580476606784, 0.9212843729541206, 0.8840120881595994, 0.8406462355172771, 0.7918887869490615, 0.7385264329240846, 0.6814170567866092, 0.6214751786625708, 0.5596566631350407, 0.4969429862576935, 0.4343253508080398, 0.37278892497937244, 0.31329746023496946, 0.25677852022710107, 0.20410952601286447, 0.1561047947497752, 0.11350372098623551, 0.07696022274992072, 0.04703354981654904, 0.024180529420497407, 0.008749305761701673, 0.0009746136292789477]",,,,,,,
50,0.0001,1.0,numeric,"[0.0, 0.0, 0.0, 3.169244168289734e-08, 1.0577719525398977e-06, 1.9993295510220047e-05, 0.0002334184656398031, 0.001781343843837428, 0.009238556766055485, 0.03346347892578949, 0.08629649302443469, 0.16053246013092373, 0.21718832234534308, 0.21454866483707208, 0.1547500854129814, 0.08117828503281091, 0.030718252147722513, 0.008275766463612857, 0.0015571502895618038, 0.00019911164328720166, 1.6642727349520112e-05, 8.592327451523991e-07, 2.5121936799491292e-08, 0.0, 0.0, 0.0]",24.923574581170396,633.6843169373951,16416.793288600737,432924.45976025716,12.499747034231858,0.038199586662813,462.4816813447977
50,0.0001,1.0,thermal1,"[0.0, 0.0, 0.0, 3.1697313939817e-08, 1.0579008540562921e-06, 1.9995165670797164e-05, 0.00023343451787855924, 0.0017814285553927759, 0.009238832946024704, 0.033464007295797696, 0.08629694533865087, 0.1605321793844451, 0.21718719726676539, 0.2145475810345084, 0.15474987468376764, 0.08117876320646797, 0.030718765331057392, 0.00827602372986771, 0.0015572266419389723, 0.0001991256901356614, 1.6644318905138488e-05, 8.593395340407491e-07, 2.5125868841611163e-08, 0.0, 0.0, 0.0]",24.92357456266731,633.6844523132958,16416.803446063772,432924.97664468025,12.49988333245858,0.0382011080000666,462.4916310133413
50,0.0001,5.0,pk,"[0.9990048097079703, 0.9910674515994907, 0.975321143469404, 0.9520204677133284, 0.9215417625305836, 0.8843766152951954, 0.8411234083202856, 0.7924770965937536, 0.7392174301235988, 0.6821958596898151, 0.6223213836277987, 0.5605456046766922, 0.49784727017844843, 0.43521656657305674, 0.3736394310011937, 0.31408212985685413, 0.2574763373712287, 0.20470492780536872, 0.1565886735761913, 0.11387401952210849, 0.07722208126856131, 0.047198993849803056, 0.024267715776674886, 0.0087813738291742, 0.0009782151011624954]",,,,,,,
50,0.0001,5.0,numeric,"[0.0, 0.0, 0.0, 3.0633553905363125e-08, 1.0260794717345395e-06, 1.946360277642685e-05, 0.00022804816569847104, 0.0017466033478987823, 0.009090932935052245, 0.033047288963579266, 0.08553048989456435, 0.15968215188934637, 0.21681949542899787, 0.21496049866134256, 0.15560995326227384, 0.08192616452660764, 0.031114166836189158, 0.0084130113628541, 0.001588758930237116, 0.00020389708110297774, 1.7105208942880894e-05, 8.86353358269602e-07, 2.6010220790477897e-08, 0.0, 0.0, 0.0]",24.94618151903277,634.8120112976402,16459.819042867068,434410.92129975033,12.500038917107984,0.026898931566393,462.50298905116506
50,0.0001,5.0,thermal1,"[0.0, 0.0, 0.0, 3.0630214995318015e-08, 1.0259907689334476e-06, 1.9462310374045856e-05, 0.00022803702391614996, 0.0017465442781064914, 0.009090739370499066, 0.033046916292863736, 0.08553016681436791, 0.1596823440715004, 0.21682028960114497, 0.21496127199597737, 0.15561010962113048, 0.08192582712581112, 0.031113800472229256, 0.008412826550055116, 0.0015887038015352099, 0.00020388689178238548, 1.710404935939518e-05, 8.862752197897514e-07, 2.6007332176475165e-08, 0.0, 0.0, 0.0]",24.946181499952875,634.8119136495203,16459.811768641288,434410.5518050268,12.499942220929256,0.0268976434890646,462.4959302016068
50,0.0001,10.0,pk,"[0.9990102331960223, 0.9911157567762844, 0.9754525467548146, 0.9522700185387735, 0.9219371591165921, 0.8849364728405399, 0.8418560874165949, 0.7933801659579417, 0.7402777992719064, 0.683390576207594, 0.623619048630742, 0.5619083213943966, 0.49923300672555265, 0.43658178708769985, 0.3749418312366724, 0.3152833053211011, 0.2585442149233795, 0.2056158052625227, 0.1573287356701639, 0.11444023109890702, 0.07762239794573185, 0.04745187394061319, 0.02440096231636041, 0.008830379017020858, 0.0009837184508759938]",,,,,,,
50,0.0001,10.0,numeric,"[0.0, 0.0, 0.0, 2.9072671822141742e-08, 9.791574500859776e-07, 1.8675890998375568e-05, 0.00022002591555462096, 0.0016944676748292084, 0.008868328883131195, 0.03241649838666555, 0.08436275181014102, 0.1583755943318518, 0.21623943661025713, 0.21557704279572337, 0.15692461981107836, 0.08307852651236754, 0.03172775709008428, 0.00862681111498526, 0.0016382380916788932, 0.00021142328080001776, 1.783592135498326e-05, 9.293985852111612e-07, 2.7426455538501603e-08, 0.0, 0.0, 0.0]",24.980824850171576,636.5419276847167,16525.888465613672,436695.7210483774,12.500317489767212,0.0095767643506405,462.5233262053225
