2023-08-23 00:03:44,994 Finished calculating data for N=50, tau=0.000316, noise=0.01
2023-08-23 00:03:45,042 Finished calculating data for N=50, tau=0.000316, noise=0.05
2023-08-23 00:03:45,093 Finished calculating data for N=50, tau=0.000316, noise=0.1
2023-08-23 00:03:45,144 Finished calculating data for N=50, tau=0.000316, noise=0.2
2023-08-23 00:03:45,193 Finished calculating data for N=50, tau=0.000316, noise=0.5
2023-08-23 00:03:45,243 Finished calculating data for N=50, tau=0.000316, noise=1.0
2023-08-23 00:03:45,291 Finished calculating data for N=50, tau=0.000316, noise=5.0
2023-08-23 00:03:45,342 Finished calculating data for N=50, tau=0.000316, noise=10.0
2023-08-23 00:03:45,393 Finished calculating data for N=50, tau=0.000464, noise=0.0
2023-08-23 00:03:45,444 Finished calculating data for N=50, tau=0.000464, noise=0.001
2023-08-23 00:03:45,494 Finished calculating data for N=50, tau=0.000464, noise=0.01
2023-08-23 00:03:45,544 Finished calculating data for N=50, tau=0.000464, noise=0.05
2023-08-23 00:03:45,594 Finished calculating data for N=50, tau=0.000464, noise=0.1
2023-08-23 00:03:45,642 Finished calculating data for N=50, tau=0.000464, noise=0.2
2023-08-23 00:03:45,689 Finished calculating data for N=50, tau=0.000464, noise=0.5
2023-08-23 00:03:45,739 Finished calculating data for N=50, tau=0.000464, noise=1.0
2023-08-23 00:03:45,788 Finished calculating data for N=50, tau=0.000464, noise=5.0
2023-08-23 00:03:45,836 Finished calculating data for N=50, tau=0.000464, noise=10.0
2023-08-23 00:03:45,886 Finished calculating data for N=50, tau=0.000562, noise=0.0
2023-08-23 00:03:45,936 Finished calculating data for N=50, tau=0.000562, noise=0.001
2023-08-23 00:03:45,989 Finished calculating data for N=50, tau=0.000562, noise=0.01
2023-08-23 00:03:46,035 Finished calculating data for N=50, tau=0.000562, noise=0.05
2023-08-23 00:03:46,085 Finished calculating data for N=50, tau=0.000562, noise=0.1
2023-08-23 00:03:46,136 Finished calculating data for N=50, tau=0.000562, noise=0.2
2023-08-23 00:03:46,186 Finished calculating data for N=50, tau=0.000562, noise=0.5
2023-08-23 00:03:46,237 Finished calculating data for N=50, tau=0.000562, noise=1.0
2023-08-23 00:03:46,287 Finished calculating data for N=50, tau=0.000562, noise=5.0
2023-08-23 00:03:46,336 Finished calculating data for N=50, tau=0.000562, noise=10.0
2023-08-23 00:03:46,386 Finished calculating data for N=50, tau=0.00075, noise=0.0
2023-08-23 00:03:46,433 Finished calculating data for N=50, tau=0.00075, noise=0.001
2023-08-23 00:03:46,482 Finished calculating data for N=50, tau=0.00075, noise=0.01
2023-08-23 00:03:46,532 Finished calculating data for N=50, tau=0.00075, noise=0.05
2023-08-23 00:03:46,581 Finished calculating data for N=50, tau=0.00075, noise=0.1
2023-08-23 00:03:46,632 Finished calculating data for N=50, tau=0.00075, noise=0.2
2023-08-23 00:03:46,680 Finished calculating data for N=50, tau=0.00075, noise=0.5
2023-08-23 00:03:46,729 Finished calculating data for N=50, tau=0.00075, noise=1.0
2023-08-23 00:03:46,780 Finished calculating data for N=50, tau=0.00075, noise=5.0
2023-08-23 00:03:46,831 Finished calculating data for N=50, tau=0.00075, noise=10.0
2023-08-23 00:03:46,881 Finished calculating data for N=50, tau=0.001, noise=0.0
2023-08-23 00:03:46,928 Finished calculating data for N=50, tau=0.001, noise=0.001
2023-08-23 00:03:46,977 Finished calculating data for N=50, tau=0.001, noise=0.01
2023-08-23 00:03:47,026 Finished calculating data for N=50, tau=0.001, noise=0.05
2023-08-23 00:03:47,075 Finished calculating data for N=50, tau=0.001, noise=0.1
2023-08-23 00:03:47,125 Finished calculating data for N=50, tau=0.001, noise=0.2
2023-08-23 00:03:47,173 Finished calculating data for N=50, tau=0.001, noise=0.5
2023-08-23 00:03:47,222 Finished calculating data for N=50, tau=0.001, noise=1.0
2023-08-23 00:03:47,271 Finished calculating data for N=50, tau=0.001, noise=5.0
2023-08-23 00:03:47,320 Finished calculating data for N=50, tau=0.001, noise=10.0
2023-08-23 00:03:47,369 Finished calculating data for N=50, tau=0.001212, noise=0.0
2023-08-23 00:03:47,416 Finished calculating data for N=50, tau=0.001212, noise=0.001
2023-08-23 00:03:47,465 Finished calculating data for N=50, tau=0.001212, noise=0.01
2023-08-23 00:03:47,515 Finished calculating data for N=50, tau=0.001212, noise=0.05
2023-08-23 00:03:47,563 Finished calculating data for N=50, tau=0.001212, noise=0.1
2023-08-23 00:03:47,612 Finished calculating data for N=50, tau=0.001212, noise=0.2
2023-08-23 00:03:47,662 Finished calculating data for N=50, tau=0.001212, noise=0.5
2023-08-23 00:03:47,711 Finished calculating data for N=50, tau=0.001212, noise=1.0
2023-08-23 00:03:47,760 Finished calculating data for N=50, tau=0.001212, noise=5.0
2023-08-23 00:03:47,809 Finished calculating data for N=50, tau=0.001212, noise=10.0
2023-08-23 00:03:47,858 Finished calculating data for N=50, tau=0.00161, noise=0.0
2023-08-23 00:03:47,907 Finished calculating data for N=50, tau=0.00161, noise=0.001
2023-08-23 00:03:47,957 Finished calculating data for N=50, tau=0.00161, noise=0.01
2023-08-23 00:03:48,006 Finished calculating data for N=50, tau=0.00161, noise=0.05
2023-08-23 00:03:48,053 Finished calculating data for N=50, tau=0.00161, noise=0.1
2023-08-23 00:03:48,103 Finished calculating data for N=50, tau=0.00161, noise=0.2
2023-08-23 00:03:48,152 Finished calculating data for N=50, tau=0.00161, noise=0.5
2023-08-23 00:03:48,202 Finished calculating data for N=50, tau=0.00161, noise=1.0
2023-08-23 00:03:48,250 Finished calculating data for N=50, tau=0.00161, noise=5.0
2023-08-23 00:03:48,298 Finished calculating data for N=50, tau=0.00161, noise=10.0
2023-08-23 00:03:48,348 Finished calculating data for N=50, tau=0.001957, noise=0.0
2023-08-23 00:03:48,397 Finished calculating data for N=50, tau=0.001957, noise=0.001
2023-08-23 00:03:48,446 Finished calculating data for N=50, tau=0.001957, noise=0.01
2023-08-23 00:03:48,494 Finished calculating data for N=50, tau=0.001957, noise=0.05
2023-08-23 00:03:48,543 Finished calculating data for N=50, tau=0.001957, noise=0.1
2023-08-23 00:03:48,594 Finished calculating data for N=50, tau=0.001957, noise=0.2
2023-08-23 00:03:48,642 Finished calculating data for N=50, tau=0.001957, noise=0.5
2023-08-23 00:03:48,690 Finished calculating data for N=50, tau=0.001957, noise=1.0
2023-08-23 00:03:48,738 Finished calculating data for N=50, tau=0.001957, noise=5.0
2023-08-23 00:03:48,787 Finished calculating data for N=50, tau=0.001957, noise=10.0
2023-08-23 00:03:48,835 Finished calculating data for N=50, tau=0.002593, noise=0.0
2023-08-23 00:03:48,882 Finished calculating data for N=50, tau=0.002593, noise=0.001
2023-08-23 00:03:48,933 Finished calculating data for N=50, tau=0.002593, noise=0.01
2023-08-23 00:03:48,983 Finished calculating data for N=50, tau=0.002593, noise=0.05
2023-08-23 00:03:49,033 Finished calculating data for N=50, tau=0.002593, noise=0.1
2023-08-23 00:03:49,081 Finished calculating data for N=50, tau=0.002593, noise=0.2
2023-08-23 00:03:49,128 Finished calculating data for N=50, tau=0.002593, noise=0.5
2023-08-23 00:03:49,178 Finished calculating data for N=50, tau=0.002593, noise=1.0
2023-08-23 00:03:49,229 Finished calculating data for N=50, tau=0.002593, noise=5.0
2023-08-23 00:03:49,280 Finished calculating data for N=50, tau=0.002593, noise=10.0
2023-08-23 00:03:49,331 Finished calculating data for N=50, tau=0.003162, noise=0.0
2023-08-23 00:03:49,379 Finished calculating data for N=50, tau=0.003162, noise=0.001
2023-08-23 00:03:49,427 Finished calculating data for N=50, tau=0.003162, noise=0.01
2023-08-23 00:03:49,474 Finished calculating data for N=50, tau=0.003162, noise=0.05
2023-08-23 00:03:49,525 Finished calculating data for N=50, tau=0.003162, noise=0.1
2023-08-23 00:03:49,574 Finished calculating data for N=50, tau=0.003162, noise=0.2
2023-08-23 00:03:49,623 Finished calculating data for N=50, tau=0.003162, noise=0.5
2023-08-23 00:03:49,671 Finished calculating data for N=50, tau=0.003162, noise=1.0
2023-08-23 00:03:49,720 Finished calculating data for N=50, tau=0.003162, noise=5.0
2023-08-23 00:03:49,770 Finished calculating data for N=50, tau=0.003162, noise=10.0
2023-08-23 00:03:49,818 Finished calculating data for N=50, tau=0.004175, noise=0.0
2023-08-23 00:03:49,865 Finished calculating data for N=50, tau=0.004175, noise=0.001
2023-08-23 00:03:49,915 Finished calculating data for N=50, tau=0.004175, noise=0.01
2023-08-23 00:03:49,965 Finished calculating data for N=50, tau=0.004175, noise=0.05
2023-08-23 00:03:50,014 Finished calculating data for N=50, tau=0.004175, noise=0.1
2023-08-23 00:03:50,061 Finished calculating data for N=50, tau=0.004175, noise=0.2
2023-08-23 00:03:50,112 Finished calculating data for N=50, tau=0.004175, noise=0.5
2023-08-23 00:03:50,162 Finished calculating data for N=50, tau=0.004175, noise=1.0
2023-08-23 00:03:50,211 Finished calculating data for N=50, tau=0.004175, noise=5.0
2023-08-23 00:03:50,258 Finished calculating data for N=50, tau=0.004175, noise=10.0
2023-08-23 00:03:50,308 Finished calculating data for N=50, tau=0.005109, noise=0.0
2023-08-23 00:03:50,356 Finished calculating data for N=50, tau=0.005109, noise=0.001
2023-08-23 00:03:50,405 Finished calculating data for N=50, tau=0.005109, noise=0.01
2023-08-23 00:03:50,454 Finished calculating data for N=50, tau=0.005109, noise=0.05
2023-08-23 00:03:50,502 Finished calculating data for N=50, tau=0.005109, noise=0.1
2023-08-23 00:03:50,551 Finished calculating data for N=50, tau=0.005109, noise=0.2
2023-08-23 00:03:50,600 Finished calculating data for N=50, tau=0.005109, noise=0.5
2023-08-23 00:03:50,647 Finished calculating data for N=50, tau=0.005109, noise=1.0
2023-08-23 00:03:50,696 Finished calculating data for N=50, tau=0.005109, noise=5.0
2023-08-23 00:03:50,746 Finished calculating data for N=50, tau=0.005109, noise=10.0
2023-08-23 00:03:50,795 Finished calculating data for N=50, tau=0.006723, noise=0.0
